	gene	leverage
40031	Rpl35a-ps6	0.015376658073022666
39907	Rpl17-ps4	0.015343762217570965
4162	Bhlhe22	0.015336232829156922
39910	Rpl17-ps9	0.015276508202535271
13480	Gm15796	0.01526481412919179
8764	Fth-ps3	0.015238216342969691
39845	Rorb	0.015217698359905711
45286	Vtn	0.015092465986141095
3859	B3galt2	0.015088665955407308
31760	Mios	0.015049027729441214
29690	Igsf21	0.015038182419371621
26607	Gm6548	0.01502297249631755
40170	Rps15a-ps8	0.014997852951924644
11581	Gm13436	0.014965442952197861
19233	Gm2735	0.014930551370492644
6329	Cux2	0.014917917915394844
36728	Prdm8	0.014909200666052039
5134	Cd59a	0.014865951313697572
6132	Crlf1	0.014838517063113186
6305	Ctsz	0.014796526054089647
8177	Fam19a2	0.014786879246886294
41300	Slc30a3	0.014764247993471995
9058	Gfra2	0.01476293470341303
9838	Gm11408	0.014755911012142993
4735	Cartpt	0.01473121752360268
30351	Kitl	0.014710875243948481
40186	Rps19-ps2	0.014690307842385385
35673	Pcdh20	0.014689504115237421
32580	Mpeg1	0.014684138035136475
31186	Lypd6b	0.014669304524604163
41002	Shisa6	0.014661514260353295
17215	Gm24407	0.014649954311032533
36563	Ppia	0.014629356745432894
40238	Rps6-ps2	0.014613058243325885
12702	Gm14859	0.014574039346558222
26256	Gm5857	0.014571723803338802
39913	Rpl18-ps2	0.014560735512484446
27538	Gm8649	0.01455094687692362
37273	RP23-114G13.7	0.014547369912445885
30169	Kcnip2	0.014535757788729446
46318	n-R5-8s1	0.014528331809032872
24967	Gm4525	0.014519279166655241
4993	Ccl6	0.014444266154404611
44710	Vim	0.014440388002067345
36381	Plxnd1	0.014438050382244367
40480	Satb2	0.014429429926553272
2983	Aldh9a1	0.014429263619514524
44303	Tyro3	0.014405857452700833
26964	Gm7384	0.014366681266023236
8872	Gabrd	0.0143603337988869
6259	Ctgf	0.014351553447907445
40000	Rpl31-ps12	0.014333342868149086
39991	Rpl30-ps3	0.014322308655698392
29066	Hpcal1	0.014297403470109705
40003	Rpl31-ps15	0.014282226868536732
33622	Nptx2	0.014278708527734477
31154	Ly6c1	0.01426757721088235
37811	RP23-2N7.4	0.014248388233454487
30970	Lpl	0.014237832032543103
23647	Gm43841	0.014227158380328824
20082	Gm29228	0.014208069959824158
11400	Gm13215	0.014194805418836182
25940	Gm5312	0.014169858877387297
44095	Tshz2	0.014160616123612588
36783	Prkcg	0.014160044728629409
40146	Rps12-ps5	0.014143121006240236
28791	Hexb	0.01412004428732855
5693	Cldn5	0.0140896193440271
41157	Slc17a6	0.014058971348042286
43054	Tiam1	0.014021064266722429
8649	Folr1	0.014006150685379427
28155	Gng7	0.014000060180095208
10575	Gm12242	0.01398892196526919
33952	Olfm2	0.013985732454573229
29190	Htr2c	0.013985214628803875
30115	Kazald1	0.013969384666207217
8870	Gabrb2	0.013953484758767534
39287	Rasd1	0.0139390958509809
7821	Eps8l2	0.013932490317415225
27103	Gm7722	0.013915612375486422
14906	Gm19243	0.013907248113251922
27742	Gm9083	0.013890865618844438
39291	Rasgef1b	0.013866866695708
39407	Rcan3	0.013827260661722652
10137	Gm11759	0.013810907275891935
2392	AW551984	0.013800788715418911
11401	Gm13216	0.013743106827715335
42519	Synpo2	0.013733048835503473
11026	Gm12778	0.013731940180461314
33295	Nectin1	0.01368227709686783
3066	Amotl1	0.013670811045657347
5823	Cnih3	0.013652083461021826
30696	Laptm5	0.013613340425212034
40004	Rpl31-ps16	0.013580398057662223
39468	Reln	0.013570276320540213
20873	Gm36964	0.013534230342360317
29265	Ier5	0.013502848538577847
9599	Gm10800	0.013497119315645593
30136	Kcnab1	0.013476632180344268
42047	Spon1	0.013437757628168973
29248	Id4	0.013434678574639054
36604	Ppp1r14a	0.013426201473455062
25650	Gm4735	0.013414015093764439
29011	Hopx	0.013402203597680113
26233	Gm5822	0.013389718097508453
42741	Tbr1	0.013377851874969033
33846	Nxph3	0.013351273787597664
9307	Gm10221	0.013330880846807266
39927	Rpl21	0.013320357390074393
39653	Rims1	0.013278106475285118
44499	Unc13c	0.013248170956090936
30682	Lamp5	0.013229005018535984
30012	Itm2a	0.013225263216943067
2965	Aldh1a1	0.013214481110575115
24051	Gm44261	0.013197311987335853
8695	Foxp1	0.013188665562766346
30244	Kctd4	0.013184675286993582
40264	Rpsa-ps2	0.013167661566947523
7341	Dvl2	0.013150661873879047
