	AB	AB_2	AS	AS_2	D	D_2	N	N_2
N06_D2__15_21	298.16391173550005	1714.783931543	20.382769779999997	24.112479	8.6095301865	8.777438101000001		
N06_D2__15_22	634.925806105	1058.918172551	7.909822511	10.461719091	7.182229081999999	8.11626256		
N06_D2__15_23	1636.549873588	2605.3883297145	13.214714114	15.09422418	20.3718512595	20.565345080500002		
N06_D2__15_24	781.0786242335	716.2378735125001	12.107228040999999	12.795475296500001	10.639842373	11.900172466		
N06_D2__15_25	1404.7031637845002	1877.0210262025	12.060671509499997	15.856567054	18.780679364	20.259247776000002		
N06_D2__15_26	890.260528002	2152.724413236	12.667169973999998	16.8947509375	14.4143658325	16.908141403000002		
N06_D2__15_27	1155.8687939435001	2054.235401265	26.826821541500003	16.3355208765	19.973600844499998	20.558598594499998		
N06_D2__15_28	2491.535321153	2548.850092914	28.676160338000003	23.3593427035	22.310126582	25.198945845		
N06_D2__15_3	3034.570507148	5026.665120332	24.057294527000003	26.4311138315	16.309719934	17.483960189500003		
N06_D2__15_4	2982.20628912	2333.944919277	25.636035694	26.491548866499997	15.150939814000001	16.0934899315		
N06_D2__15_5	2813.063363243	1910.7436325139997	18.105207132	17.7538852725	18.828173512	18.444356765500004		
N06_D2__15_6	911.518915708	1586.1204174700001	34.673815907	27.615026921000002	12.967927713	14.243759178		
N06_D2__15_8	465.9104436745	569.9289461925	25.662064282499998	21.258884895	12.782933454	14.7793302885		
N06_D2__15_9	257.2433971255	1094.9087216935	0.375337804	0.6622594180000001	9.213291963	8.84614483		
N06_D2__16_10	234.15251193950002	441.671460638	2.2026866849999998	1.8575624079999997	18.154879494	13.4312285855		
N06_D2__16_11	1961.215561637	1564.2983833454998	3.9721220390000003	3.3870638645	11.536212106499999	16.164501576		
N06_D2__16_12	170.214470925	2292.333278848	1.2935716400000001	4.2266275085	14.6242717485	16.2542829175		
N06_D2__16_13	1715.022383824	3096.233210502	12.929179529999999	13.6638781205	14.430723173499999	13.5017796825		
N06_D2__16_14	1472.36584664	891.2631894680001	2.2907488985	3.1445096075	17.7588105725	10.633496392000001		
N06_D2__16_15	1256.714333937	1083.460292084	12.7961621305	7.7567125395	14.02976307	14.1997882785		
N06_D2__16_16	1269.4877287445001	2827.62529393	14.006112612999999	7.878399254	18.4318796285	17.5362149875		
N06_D2__16_17	147.14552050700001	1282.358494522	3.567440822	4.318156548499999	17.8316212595	14.1497109185		
N06_D2__16_18	773.9432959585	475.61843044499994	0.0	1.3596675784999999	14.281136509499998	14.1936671575		
N06_D2__16_19	1540.256368018	3172.1990071375003	10.518292683	17.106301283	17.111280488	14.65127288		
N06_D2__16_20	651.038511274	2471.0467155435003	10.548885077	10.238985162499999	11.275014294	13.5236153585		
N06_D2__16_21	2808.637713342	1632.3885812425	10.7019491735	10.833812884499999	7.556131260999999	11.9181027955		
N06_D2__16_22	903.7120656785	1876.4247482565002	38.815465036	29.508076357999997	11.1894664165	10.9165442975		
N06_D2__16_23	1133.3529020585	4251.125034703	9.322849807	18.194722996499998	4.230851519	6.652254317		
N06_D2__16_24	1362.2729165414999	1090.013998042	18.191985995	13.018073429000001	22.8652013225	22.3067278575		
N06_D2__16_25	205.4745592255	551.900107154	25.906544032	22.204568541	19.632096416	17.863933529500002		
N06_D2__16_27	1812.7097407944998	2190.1686725045	20.4893138355	18.244107182500002	13.487064117	15.8786413165		
N06_D2__16_28	3112.8062517625003	2900.8182109709996	19.341444573	17.0120918695	25.260718424	24.686970831999997		
N06_D2__16_3	1974.8243012865	2654.9907126875	41.1630897045	52.731287773	20.418356246000002	18.0997210595		
N06_D2__16_4	4129.5731445955	3006.8805559425	39.0584415585	34.1005390995	19.7605519485	18.160297599		
N06_D2__16_5	3406.374390396	3761.735610755	14.1168539325	25.277125717	26.161797753000002	23.403538515		
N06_D2__16_6	1156.6750897744998	1283.0845571845	19.3204625825	19.6954904695	15.903660518	15.484658298500001		
N06_D2__16_8	333.690133768	379.6759503725	0.4780876495	4.0124816445	8.844621514	9.7552618695		
N06_D2__16_9	228.2224648345	239.28635139300002	1.2643914475	1.356720734	11.759868421	10.877656230500001		
N06_D2__17_10	123.35576876300001	1565.117211116	0.9560516569999999	3.0139500735	13.434778256	14.712432697		
N06_D2__17_11	396.508297795	1627.676683958	0.48187241849999995	3.359768152	13.290500229500001	12.8763030195		
N06_D2__17_12	1789.7431899335002	2304.5106893875	7.597305389	5.4131612305	13.056699102	15.135415466000001		
N06_D2__17_13	900.5449221025	622.4356287324999	2.0657276995	4.0260344025000006	10.291079812	11.0681078565		
N06_D2__17_14	3291.3895368539997	3000.5451816679997	20.780602531000003	12.973367485	13.937730988999999	15.354319865499999		
N06_D2__17_15	235.1392924695	796.607769774	4.261276855499999	5.5878284925	12.7227369925	12.738589211499999		
N06_D2__17_16	401.937153038	644.7454042004999	4.419002782	3.664428105	13.224909052	13.558782152		
N06_D2__17_17	764.9091682630001	1595.7480292565	4.5821514295000005	5.1498608145	14.128300240000002	12.0361611845		
N06_D2__17_18	1751.674611767	1431.8856713474997	9.9647083245	8.2409564525	9.933568610999998	13.467397148		
N06_D2__17_19	1638.7151879195	2802.7815521985003	10.945024077	13.850107489500001	14.401083467	15.930712397		
N06_D2__17_20	3107.8945938274996	3050.502478778	9.3127988435	14.962970827500001	28.105192928	21.2260770315		
N06_D2__17_21	186.8697954515	1859.4560076105001	11.079368377	10.4472405955	84.7704134635	59.7250930135		
N06_D2__17_22	230.81022657850002	724.4195989005	10.8121277745	9.841992501499998	5.127233351	7.055436529		
N06_D2__17_23	1125.757066521	1168.309257091	27.852089321	22.4934469205	14.039354411000001	11.043304937000002		
N06_D2__17_24	463.6871803655	1699.466046108	8.558315335	9.4081414035	25.5831533475	21.553294055000002		
N06_D2__17_25	821.1311968594999	1616.228502516	18.375116063	18.4477004665	13.788300836000001	14.703529304500002		
