	gene	leverage
25729	Gm4881	0.005851150956004858
33831	Nwd2	0.0058507611975073814
9948	Gm11532	0.005834938958287239
28666	Hap1	0.00581713393330574
26269	Gm5874	0.005808624904602766
36219	Pla2g7	0.005807992536574602
7358	Dynlrb2	0.005797825753688812
30719	Lbx1	0.005773165728896856
33306	Nefm	0.005765236914157867
44174	Ttc3	0.00576453423127532
6008	Cox4i1	0.005749239586293697
37	1110008P14Rik	0.005738082807511091
42360	Stx1a	0.005735625512897968
28716	Hcn1	0.005731061566621065
14756	Gm18779	0.005720095243304968
6058	Cpne6	0.005715965759009123
35627	Patj	0.005712580867111683
30970	Lpl	0.005707194097340107
2337	AI593442	0.005703500472009182
9837	Gm11407	0.005701406858861446
39579	Rhob	0.005698653869330883
4637	Calm2	0.00567750446498394
4704	Car12	0.005675489082932472
7242	Dpysl2	0.005656031426042318
44031	Trp53i11	0.005651635583490133
3859	B3galt2	0.005646277219057083
6132	Crlf1	0.0056434012949466705
10302	Gm11942	0.005637999624013901
30662	Lactbl1	0.005629801191389561
2716	Adarb1	0.005629691295325756
43050	Thy1	0.005621763411909342
30244	Kctd4	0.005616161972284317
40774	Sept7	0.00561564089730382
23719	Gm43915	0.005612834356725216
31395	Mapt	0.005612226668745279
41663	Snca	0.005607749335467815
7142	Dnali1	0.005607608240097761
35557	Pamr1	0.005602964665740728
30527	Krt12	0.00559271639212966
23177	Gm43353	0.005590732209384441
42541	Syt7	0.005583208054304123
30006	Itih3	0.005582339596003294
6288	Ctsb	0.005581747740507126
6056	Cpne4	0.00558044109493494
3342	Aqp4	0.005576983094215393
33297	Nectin3	0.005573560018092394
28363	Grem1	0.005570903420448303
33693	Nrsn1	0.005563331302255392
33683	Nrip3	0.005560798570513725
36268	Plcb4	0.005560258403420448
40263	Rpsa-ps12	0.0055557116866111755
40783	Serinc1	0.005553918424993753
30922	Lmo1	0.005544894840568304
30138	Kcnab3	0.005542272701859474
27977	Gm9752	0.005535995587706566
3722	Atp6ap2	0.005535721313208342
33952	Olfm2	0.0055326311849057674
37137	Ptpn3	0.005532155279070139
8177	Fam19a2	0.005528857931494713
29246	Id2	0.005515251308679581
24513	Gm44783	0.005513177718967199
29054	Hoxd10	0.005508075002580881
40537	Scg3	0.005502563901245594
42741	Tbr1	0.0054992432706058025
33708	Nsg2	0.005497056059539318
29195	Htr5b	0.005495714023709297
31369	Mapk1	0.00549430213868618
40127	Rps12	0.005492175463587046
36611	Ppp1r16b	0.005490848794579506
41327	Slc35d3	0.0054794843308627605
7477	Ecel1	0.005477834492921829
27418	Gm8355	0.005464074667543173
39946	Rpl23a	0.005458959843963385
40160	Rps15	0.005453800782561302
36841	Prnp	0.0054511115886271
7925	Etl4	0.00544691551476717
8919	Galnt9	0.00544679444283247
41407	Slc4a4	0.00544301513582468
44710	Vim	0.005440795328468084
40227	Rps3	0.005437168758362532
16567	Gm23445	0.00543580437079072
3733	Atp6v1a	0.005432567559182644
44222	Ttyh1	0.005428161006420851
36982	Psd3	0.005426946096122265
245	1700020I14Rik	0.005425346549600363
31322	Map1a	0.005423389375209808
6184	Csf1r	0.005423045717179775
23221	Gm43398	0.005399335641413927
6768	Ddit4l	0.00539880758151412
39516	Rfx3	0.005391543265432119
7151	Dner	0.005373706109821796
40635	Scrt1	0.005373137537389994
17746	Gm25179	0.0053663309663534164
37180	Purb	0.005361760035157204
28131	Gnao1	0.005327623803168535
30137	Kcnab2	0.0053184544667601585
42322	Stmn4	0.0053181457333266735
44242	Tubb5	0.0053170351311564445
29260	Ids	0.005316207185387611
40159	Rps14	0.005316038150340319
7021	Dlgap1	0.005311144515872002
5092	Cd24a	0.005307508632540703
37165	Ptprz1	0.0053050643764436245
36381	Plxnd1	0.005303593352437019
1031	4921539H07Rik	0.005303412210196257
28956	Hmgcs1	0.005294268485158682
4948	Ccdc88c	0.0052932072430849075
4622	Cadps2	0.005291386973112822
35895	Peg10	0.0052909874357283115
9758	Gm11292	0.005290936212986708
29958	Islr2	0.0052908337675035
30157	Kcng2	0.00528363324701786
6222	Csrp1	0.005281073972582817
35474	Oxr1	0.00527595030143857
18244	Gm25937	0.005275426432490349
42975	Tgfb2	0.005273459013551474
40856	Serpini1	0.005263275466859341
36666	Ppp3r1	0.005258374381810427
6388	Cygb	0.005254768300801516
42052	Spp1	0.005254634656012058
29360	Igfbp2	0.0052508022636175156
28152	Gng3	0.005244867410510778
40179	Rps19	0.005243201740086079
31204	Lyz2	0.005243139807134867
40639	Scube1	0.005228949245065451
31149	Luzp2	0.00522889057174325
5254	Cdk5r1	0.005227421410381794
44509	Unc5d	0.005216565914452076
30086	Kalrn	0.005215504672378302
9900	Gm11478	0.005213721189647913
35282	Olfr934	0.005212294403463602
5871	Cntnap5a	0.005206620320677757
41903	Spa17	0.005205636844038963
42096	Sptbn2	0.005198897328227758
42521	Synpr	0.0051987143233418465
7026	Dlk1	0.005193705204874277
35898	Peg3	0.00519007770344615
41666	Sncg	0.005188970826566219
39845	Rorb	0.005183662753552198
3684	Atp1b2	0.00517989881336689
28403	Grm1	0.005178489256650209
2591	Acsbg1	0.005172301083803177
5331	Celf2	0.005171515513211489
5771	Clstn1	0.005168417003005743
43277	Tmem178	0.005167373921722174
7655	Elavl2	0.005159152206033468
30156	Kcng1	0.005157157313078642
44478	Ugt8a	0.0051520089618861675
30143	Kcnc2	0.005149299744516611
25332	Gm45613	0.005148766096681356
30155	Kcnf1	0.005144457798451185
40217	Rps27	0.005140466615557671
7998	F13b	0.005138690583407879
7793	Epha4	0.005132738966494799
36778	Prkca	0.005128765944391489
6930	Dgkb	0.005125987809151411
45433	Wipf3	0.00512122455984354
3515	Arpp19	0.005120104644447565
36294	Plekha2	0.005118840374052525
35883	Pdzrn3	0.005111978389322758
5439	Cfap161	0.0051111155189573765
40725	Selenop	0.005110790953040123
39010	RP24-570M12.4	0.005102619994431734
30023	Itpr1	0.0051021031104028225
46154	Zfpm2	0.005099508445709944
8276	Fam81a	0.005097625777125359
6360	Cxx1a	0.005096981767565012
40210	Rps24	0.005090141668915749
2261	A930038B10Rik	0.005085541866719723
3664	Atoh7	0.005084333010017872
31410	Marcksl1	0.005080375354737043
19031	Gm2694	0.005075439345091581
4773	Cav3	0.005075038876384497
41859	Sowaha	0.005070964805781841
8438	Fcer1g	0.005068373400717974
41430	Slc6a1	0.005062898155301809
40321	Rspo1	0.005060245282948017
45588	Ywhaq	0.005056371446698904
40771	Sept4	0.005055426154285669
4304	Bsg	0.005046173930168152
5575	Chrnb4	0.005043318960815668
31166	Ly6h	0.005040756426751614
33847	Nxph4	0.00503590377047658
4586	Cachd1	0.005033487919718027
32306	Mir703	0.0050329044461250305
40729	Selenow	0.005030953790992498
3380	Arhgap12	0.005030118394643068
29011	Hopx	0.005029487889260054
8812	Fxyd6	0.005028606858104467
5283	Cdr1	0.005020845681428909
36616	Ppp1r1b	0.005018166266381741
36783	Prkcg	0.005016919691115618
42354	Stx11	0.005016725976020098
40051	Rpl38	0.005016683135181665
42543	Syt9	0.005010590888559818
8677	Foxj1	0.0050091794691979885
29910	Iqgap2	0.005009172484278679
3175	Ankrd63	0.005008595064282417
30217	Kcnq5	0.005006890278309584
6329	Cux2	0.005005230195820332
30329	Kif5b	0.005002308636903763
